name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	180	0	180	0	-1	0	460	-1	460	54	-1	54	116	-1	116	390	-1	390	430	-1	430	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	180	100	0	-1	0
Login	90	0	90	12030	-1	12030	12570	-1	12570	12179	-1	12179	204	-1	204	12570	-1	12570	12570	-1	12570	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	90	100	0	-1	0
Login / Login page	90	0	90	0	-1	0	460	-1	460	100	-1	100	151	-1	151	410	-1	410	440	-1	440	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	90	100	0	-1	0
Login / Submit login	90	0	90	0	-1	0	40	-1	40	7	-1	7	11	-1	11	30	-1	30	30	-1	30	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	90	100	0	-1	0
Token	90	0	90	0	-1	0	10	-1	10	0	-1	0	2	-1	2	0	-1	0	10	-1	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	90	100	0	-1	0

Patient	90	0	90	5960	-1	5960	6070	-1	6070	6004	-1	6004	54	-1	54	6050	-1	6050	6060	-1	6060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	90	100	0	-1	0

Document	90	0	90	5930	-1	5930	6080	-1	6080	6000	-1	6000	0	-1	0	6000	-1	6000	6050	-1	6050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	90	100	0	-1	0

