name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	72	70	2	10	10	40	8050	8050	40	1033	1062	40	2354	2381	0	7240	7320	40	7890	7890	40	t < 800 ms	60	83	800 ms < t < 1200 ms	1	1	t > 1200 ms	9	12	failed	2	2	0	0	0
Login	11	10	1	12100	12250	12100	12350	12350	12100	12282	12300	12100	0	32	0	12350	12350	12100	12350	12350	12100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Login / Login page	11	11	0	10	10	-1	70	70	-1	25	25	-1	17	17	-1	50	50	-1	70	70	-1	t < 800 ms	11	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	11	10	1	40	220	40	260	260	40	215	232	40	54	11	0	240	260	40	260	260	40	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token	11	10	1	0	40	0	80	80	0	47	52	0	19	11	0	60	80	0	80	80	0	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token / Token exchange	10	10	0	40	40	-1	50	50	-1	47	47	-1	5	5	-1	50	50	-1	50	50	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	11	9	2	6000	12500	6000	14050	14050	6010	11907	13219	6005	2819	486	5	13840	14050	6010	14050	14050	6010	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	81	failed	2	18	0	0	0
Patient / Patient demographics	10	9	1	40	6460	40	8050	8050	40	6513	7232	40	2210	505	0	8050	8050	40	8050	8050	40	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	90	failed	1	10	0	0	0
Document	11	10	1	6000	6350	6000	7500	7500	6000	6564	6620	6000	368	345	0	6900	7500	6000	7500	7500	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Document / Document retrieval text	10	10	0	90	90	-1	960	960	-1	240	240	-1	253	253	-1	960	960	-1	960	960	-1	t < 800 ms	9	90	800 ms < t < 1200 ms	1	10	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval metadata	10	10	0	70	70	-1	130	130	-1	83	83	-1	17	17	-1	130	130	-1	130	130	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval file	10	10	0	170	170	-1	570	570	-1	295	295	-1	138	138	-1	570	570	-1	570	570	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
