name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	410	408	2	20	20	80	27760	27760	3260	2400	2404	1670	5830	5843	1590	18180	18180	3260	27230	27230	3260	t < 800 ms	290	70	800 ms < t < 1200 ms	28	6	t > 1200 ms	90	21	failed	2	0	1	1	0
Login	60	58	2	12150	12350	12150	15300	14050	15300	12566	12526	13725	479	324	1575	13200	13150	15300	14050	14000	15300	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	58	96	failed	2	3	0	0	0
Login / Login page	60	60	0	20	20	-1	320	320	-1	43	43	-1	44	44	-1	70	70	-1	170	170	-1	t < 800 ms	60	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	60	58	2	80	290	80	3260	1970	3260	500	459	1670	488	332	1590	1140	1070	3260	1970	1940	3260	t < 800 ms	53	88	800 ms < t < 1200 ms	3	5	t > 1200 ms	2	3	failed	2	3	0	0	0
Token	60	58	2	0	40	0	6800	6800	0	158	163	0	865	879	0	80	80	0	90	90	0	t < 800 ms	57	95	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	2	3	0	0	0
Token / Token exchange	58	58	0	30	30	-1	6800	6800	-1	160	160	-1	880	880	-1	80	80	-1	90	90	-1	t < 800 ms	57	98	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	1	failed	0	0	0	0	-1
Patient	60	58	2	6000	6060	6000	33780	33780	6000	15574	15904	6000	9462	9453	0	31500	31500	6000	33160	33160	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	58	96	failed	2	3	0	0	0
Patient / Patient demographics	58	58	0	60	60	-1	27760	27760	-1	9902	9902	-1	9454	9454	-1	25520	25520	-1	27170	27170	-1	t < 800 ms	18	31	800 ms < t < 1200 ms	1	1	t > 1200 ms	39	67	failed	0	0	0	0	-1
Document	60	58	2	6000	6500	6000	36650	36650	6000	12136	12347	6000	8061	8117	0	34550	34550	6000	34600	34600	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	58	96	failed	2	3	0	0	0
Document / Document retrieval text	58	58	0	140	140	-1	27640	27640	-1	4427	4427	-1	6851	6851	-1	24270	24270	-1	27550	27550	-1	t < 800 ms	10	17	800 ms < t < 1200 ms	8	13	t > 1200 ms	40	68	failed	0	0	0	0	-1
Document / Document retrieval metadata	58	58	0	60	60	-1	27230	27230	-1	1228	1228	-1	4857	4857	-1	900	900	-1	26580	26580	-1	t < 800 ms	54	93	800 ms < t < 1200 ms	2	3	t > 1200 ms	2	3	failed	0	0	0	0	-1
Document / Document retrieval file	58	58	0	160	160	-1	1810	1810	-1	688	688	-1	366	366	-1	1310	1310	-1	1780	1780	-1	t < 800 ms	38	65	800 ms < t < 1200 ms	14	24	t > 1200 ms	6	10	failed	0	0	0	0	-1
